year,avg_mortgage_rate,rate_observations
2015,3.8505769230769227,52
2016,3.6540384615384616,52
2017,3.9898076923076924,52
2018,4.544615384615384,52
2019,3.935769230769231,52
2020,3.111698113207547,53
2021,2.957692307692308,52
2022,5.344038461538461,52
2023,6.806730769230769,52
2024,6.721153846153846,52
2025,6.595094339622642,53
